Country,start_year,start_age,current_age,gender,mortality 
ETH,2088,0,73,male,0.0184881
ETH,2089,0,74,female,0.0134257
ETH,2089,0,74,male,0.0182265
ETH,2090,0,75,female,0.0260506
ETH,2090,0,75,male,0.032556
ETH,2091,0,76,female,0.0257004
ETH,2091,0,76,male,0.0321506
ETH,2092,0,77,female,0.0253549
ETH,2092,0,77,male,0.0317504
ETH,2093,0,78,female,0.0250141
ETH,2093,0,78,male,0.0313551
ETH,2094,0,79,female,0.0246779
ETH,2094,0,79,male,0.0309647
ETH,2095,0,80,female,0.04881
ETH,2095,0,80,male,0.0543818
ETH,2096,0,81,female,0.0482749
ETH,2096,0,81,male,0.0537813
ETH,2097,0,82,female,0.0477456
ETH,2097,0,82,male,0.0531874
ETH,2098,0,83,female,0.0472222
ETH,2098,0,83,male,0.0526001
ETH,2099,0,84,female,0.0467045
ETH,2099,0,84,male,0.0520193
ETH,2100,0,85,female,0.0876689
ETH,2100,0,85,male,0.0944331
ETH,2101,0,86,female,0.0869122
ETH,2101,0,86,male,0.0935616
ETH,2102,0,87,female,0.0861621
ETH,2102,0,87,male,0.0926981
ETH,2103,0,88,female,0.0854184
ETH,2103,0,88,male,0.0918426
ETH,2104,0,89,female,0.0846812
ETH,2104,0,89,male,0.0909951
ETH,2105,0,90,female,0.1540334
ETH,2105,0,90,male,0.1605134
ETH,2106,0,91,female,0.1530585
ETH,2106,0,91,male,0.1593431
ETH,2107,0,92,female,0.1520898
ETH,2107,0,92,male,0.1581814
ETH,2108,0,93,female,0.1511272
ETH,2108,0,93,male,0.1570281
ETH,2109,0,94,female,0.1501707
ETH,2109,0,94,male,0.1558832
ETH,2110,0,95,female,0.2559822
ETH,2110,0,95,male,0.2602783
ETH,2111,0,96,female,0.2548867
ETH,2111,0,96,male,0.258874
ETH,2112,0,97,female,0.2537958
ETH,2112,0,97,male,0.2574773
ETH,2113,0,98,female,0.2527095
ETH,2113,0,98,male,0.2560881
ETH,2114,0,99,female,0.251628
ETH,2114,0,99,male,0.2547064
ETH,2115,0,100,female,0.4049455
ETH,2115,0,100,male,0.3990539
ETH,2116,0,101,female,1
ETH,2116,0,101,male,1
ETH,2015,1,1,female,0.004539152
ETH,2015,1,1,male,0.00482804
ETH,2016,1,2,female,0.0048884
ETH,2016,1,2,male,0.0051038
ETH,2017,1,3,female,0.0045893
ETH,2017,1,3,male,0.004792
ETH,2018,1,4,female,0.0043084
ETH,2018,1,4,male,0.0044993
ETH,2019,1,5,female,0.0018878
ETH,2019,1,5,male,0.0025892
ETH,2020,1,6,female,0.0017945
ETH,2020,1,6,male,0.0024855
ETH,2021,1,7,female,0.0017058
ETH,2021,1,7,male,0.002386
ETH,2022,1,8,female,0.0016214
ETH,2022,1,8,male,0.0022904
ETH,2023,1,9,female,0.0015412
ETH,2023,1,9,male,0.0021986
ETH,2024,1,10,female,0.0010484
ETH,2024,1,10,male,0.0013532
ETH,2025,1,11,female,0.0010047
ETH,2025,1,11,male,0.0013065
ETH,2026,1,12,female,0.0009628
ETH,2026,1,12,male,0.0012615
ETH,2027,1,13,female,0.0009226
ETH,2027,1,13,male,0.001218
ETH,2028,1,14,female,0.0008842
ETH,2028,1,14,male,0.001176
ETH,2029,1,15,female,0.0011136
ETH,2029,1,15,male,0.0018365
ETH,2030,1,16,female,0.001072
ETH,2030,1,16,male,0.001786
ETH,2031,1,17,female,0.0010319
ETH,2031,1,17,male,0.0017369
ETH,2032,1,18,female,0.0009933
ETH,2032,1,18,male,0.0016892
ETH,2033,1,19,female,0.0009561
ETH,2033,1,19,male,0.0016428
ETH,2034,1,20,female,0.0012309
ETH,2034,1,20,male,0.0021758
ETH,2035,1,21,female,0.0011873
ETH,2035,1,21,male,0.0021122
ETH,2036,1,22,female,0.0011453
ETH,2036,1,22,male,0.0020505
ETH,2037,1,23,female,0.0011048
ETH,2037,1,23,male,0.0019906
ETH,2038,1,24,female,0.0010657
ETH,2038,1,24,male,0.0019325
ETH,2039,1,25,female,0.0015106
ETH,2039,1,25,male,0.0020502
ETH,2040,1,26,female,0.0014617
ETH,2040,1,26,male,0.0019901
ETH,2041,1,27,female,0.0014143
ETH,2041,1,27,male,0.0019317
ETH,2042,1,28,female,0.0013685
ETH,2042,1,28,male,0.0018751
ETH,2043,1,29,female,0.0013242
ETH,2043,1,29,male,0.0018201
ETH,2044,1,30,female,0.001963
ETH,2044,1,30,male,0.0022858
ETH,2045,1,31,female,0.0019086
ETH,2045,1,31,male,0.0022257
ETH,2046,1,32,female,0.0018558
ETH,2046,1,32,male,0.0021672
ETH,2047,1,33,female,0.0018044
ETH,2047,1,33,male,0.0021103
ETH,2048,1,34,female,0.0017545
ETH,2048,1,34,male,0.0020548
ETH,2049,1,35,female,0.0029509
ETH,2049,1,35,male,0.0028533
ETH,2050,1,36,female,0.0028894
ETH,2050,1,36,male,0.0027889
ETH,2051,1,37,female,0.0028291
ETH,2051,1,37,male,0.0027259
ETH,2052,1,38,female,0.0027701
ETH,2052,1,38,male,0.0026644
ETH,2053,1,39,female,0.0027124
ETH,2053,1,39,male,0.0026042
ETH,2054,1,40,female,0.0035234
ETH,2054,1,40,male,0.0032842
ETH,2055,1,41,female,0.0034608
ETH,2055,1,41,male,0.0032154
ETH,2056,1,42,female,0.0033992
ETH,2056,1,42,male,0.003148
ETH,2057,1,43,female,0.0033387
ETH,2057,1,43,male,0.003082
ETH,2058,1,44,female,0.0032793
ETH,2058,1,44,male,0.0030173
ETH,2059,1,45,female,0.0032265
ETH,2059,1,45,male,0.0034804
ETH,2060,1,46,female,0.0031658
ETH,2060,1,46,male,0.0034079
ETH,2061,1,47,female,0.0031062
ETH,2061,1,47,male,0.0033369
ETH,2062,1,48,female,0.0030478
ETH,2062,1,48,male,0.0032673
ETH,2063,1,49,female,0.0029904
ETH,2063,1,49,male,0.0031993
ETH,2064,1,50,female,0.0037662
ETH,2064,1,50,male,0.0047339
ETH,2065,1,51,female,0.0036975
ETH,2065,1,51,male,0.0046468
ETH,2066,1,52,female,0.0036299
ETH,2066,1,52,male,0.0045614
ETH,2067,1,53,female,0.0035636
ETH,2067,1,53,male,0.0044775
ETH,2068,1,54,female,0.0034985
ETH,2068,1,54,male,0.0043952
ETH,2069,1,55,female,0.0037936
ETH,2069,1,55,male,0.0053878
ETH,2070,1,56,female,0.0037164
ETH,2070,1,56,male,0.0052873
ETH,2071,1,57,female,0.0036407
ETH,2071,1,57,male,0.0051887
ETH,2072,1,58,female,0.0035666
ETH,2072,1,58,male,0.005092
ETH,2073,1,59,female,0.003494
ETH,2073,1,59,male,0.004997
ETH,2074,1,60,female,0.0053979
ETH,2074,1,60,male,0.0082603
ETH,2075,1,61,female,0.0052936
ETH,2075,1,61,male,0.0081241
ETH,2076,1,62,female,0.0051913
ETH,2076,1,62,male,0.0079903
ETH,2077,1,63,female,0.0050911
ETH,2077,1,63,male,0.0078586
ETH,2078,1,64,female,0.0049927
ETH,2078,1,64,male,0.0077291
ETH,2079,1,65,female,0.0085838
ETH,2079,1,65,male,0.0128367
ETH,2080,1,66,female,0.0084316
ETH,2080,1,66,male,0.012646
ETH,2081,1,67,female,0.008282
ETH,2081,1,67,male,0.0124583
ETH,2082,1,68,female,0.0081351
ETH,2082,1,68,male,0.0122732
ETH,2083,1,69,female,0.0079908
ETH,2083,1,69,male,0.012091
ETH,2084,1,70,female,0.0145484
ETH,2084,1,70,male,0.0195726
ETH,2085,1,71,female,0.0143166
ETH,2085,1,71,male,0.0192956
ETH,2086,1,72,female,0.0140885
ETH,2086,1,72,male,0.0190226
ETH,2087,1,73,female,0.013864
ETH,2087,1,73,male,0.0187534
ETH,2088,1,74,female,0.0136431
ETH,2088,1,74,male,0.0184881
ETH,2089,1,75,female,0.0264055
ETH,2089,1,75,male,0.0329664
ETH,2090,1,76,female,0.0260506
ETH,2090,1,76,male,0.032556
ETH,2091,1,77,female,0.0257004
ETH,2091,1,77,male,0.0321506
ETH,2092,1,78,female,0.0253549
ETH,2092,1,78,male,0.0317504
ETH,2093,1,79,female,0.0250141
ETH,2093,1,79,male,0.0313551
ETH,2094,1,80,female,0.0493511
ETH,2094,1,80,male,0.0549891
ETH,2095,1,81,female,0.04881
ETH,2095,1,81,male,0.0543818
ETH,2096,1,82,female,0.0482749
ETH,2096,1,82,male,0.0537813
ETH,2097,1,83,female,0.0477456
ETH,2097,1,83,male,0.0531874
ETH,2098,1,84,female,0.0472222
ETH,2098,1,84,male,0.0526001
ETH,2099,1,85,female,0.0884321
ETH,2099,1,85,male,0.0953127
ETH,2100,1,86,female,0.0876689
ETH,2100,1,86,male,0.0944331
ETH,2101,1,87,female,0.0869122
ETH,2101,1,87,male,0.0935616
ETH,2102,1,88,female,0.0861621
ETH,2102,1,88,male,0.0926981
ETH,2103,1,89,female,0.0854184
ETH,2103,1,89,male,0.0918426
ETH,2104,1,90,female,0.1550145
ETH,2104,1,90,male,0.1616923
ETH,2105,1,91,female,0.1540334
ETH,2105,1,91,male,0.1605134
ETH,2106,1,92,female,0.1530585
ETH,2106,1,92,male,0.1593431
ETH,2107,1,93,female,0.1520898
ETH,2107,1,93,male,0.1581814
ETH,2108,1,94,female,0.1511272
ETH,2108,1,94,male,0.1570281
ETH,2109,1,95,female,0.2570826
ETH,2109,1,95,male,0.2616902
ETH,2110,1,96,female,0.2559822
ETH,2110,1,96,male,0.2602783
ETH,2111,1,97,female,0.2548867
ETH,2111,1,97,male,0.258874
ETH,2112,1,98,female,0.2537958
ETH,2112,1,98,male,0.2574773
ETH,2113,1,99,female,0.2527095
ETH,2113,1,99,male,0.2560881
ETH,2114,1,100,female,0.4059383
ETH,2114,1,100,male,0.4005065
ETH,2115,1,101,female,0.4049455
ETH,2115,1,101,male,0.3990539
ETH,2116,1,102,female,1
